study_id,author_year,article_title,study_design,climate_factors,sample_source,seasonality_subtype
1,García-Rey et al. (2004),Effect of social and climatological factors on antimicrobial use and Streptococcus pneumoniae resistance in different provinces in Spain,Ecological study,Ambient temperature; Precipitation,Clinical isolates,No seasonality
2,"Eber, Michael R., et al. (2011)",Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Time-series study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Clinical isolates,Seasonality with other climate factors
3,Levin-Edens et al. (2011),Survival of environmental and clinical strains of methicillin-resistant Staphylococcus aureus (MRSA) in marine and fresh waters,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
4,"Sahoo, Krushna Chandra, et al. (2014)",Climatic Factors and Community — Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections — A Time-Series Analysis Study,Time-series study,Ambient temperature; Relative humidity,Clinical isolates,No seasonality
5,"Blanco, Natalia, et al. (2017)",Effect of meteorological factors and geographic location on methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci colonization in the US,Cohort study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Clinical isolates,Seasonality with other climate factors
6,Di Cesare et al. (2017),Rainfall increases the abundance of antibiotic resistance genes within a riverine microbial community,Time-series study,Precipitation,Environmental water,No seasonality
7,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Time-series study,Ambient temperature; Precipitation; Extreme weather events,Environmental water,No seasonality
8,MacFadden et al. (2018),Antibiotic resistance increases with local temperature,Ecological study,Ambient temperature,Clinical isolates,No seasonality
9,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Cross-sectional study,Precipitation; Extreme weather events,Environmental water,No seasonality
10,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Ecological study,Ambient temperature; Precipitation,Clinical isolates,No seasonality
11,Zheng et al. (2018),High-throughput profiling of seasonal variations of antibiotic resistance gene transport in a peri-urban river,Time-series study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
12,Chen et al. (2019),High-throughput profiling of antibiotic resistance gene dynamic in a drinking water river-reservoir system,Time-series study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
13,Duff et al. (2019),Land Use and Environmental Variables Influence Tetracycline-Resistant Bacteria Occurrence in Southeastern Coastal Plain Streams,Time-series study,Ambient temperature; Precipitation; Extreme weather events,Wastewater,No seasonality
14,Fang et al. (2019),Decoupling the Dynamics of Bacterial Taxonomy and Antibiotic Resistance Function in a Subtropical Urban Reservoir as Revealed by High-Frequency Sampling,Time-series study,Ambient temperature; Precipitation,Environmental water,No seasonality
15,Pärnänen et al. (2019),Antibiotic resistance in European wastewater treatment plants mirrors the pattern of clinical antibiotic resistance prevalence,Ecological study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
16,Yang et al. (2019),Bacterial community and climate change implication affected the diversity and abundance of antibiotic resistance genes in wetlands on the Qinghai-Tibetan Plateau,Cross-sectional study,Ambient temperature; Precipitation; Relative humidity,Soil/agricultural sources,No seasonality
18,Hernandez et al. (2020),Impact of wave action and rainfall on incidence and antibiotic resistance of total coliforms in Southern California beaches,Cross-sectional study,Ambient temperature,Environmental water,No seasonality
19,Kaba et al. (2020),Thinking outside the box: Association of antimicrobial resistance with climate warming in Europe – A 30 country observational study,Ecological study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
20,Lee et al. (2020),Residential urban stormwater runoff: A comprehensive profile of microbiome and antibiotic resistance,Cross-sectional study,Ambient temperature; Precipitation,Environmental water,No seasonality
21,McGough SF et al. (2020),Rates of increase of antibiotic resistance and ambient temperature in Europe: a cross-national analysis of 28 countries between 2000 and 2016,Ecological study,Ambient temperature; Interaction/Composite exposure,Clinical isolates,No seasonality
22,Wei et al. (2020),"Airborne bacterial communities and antibiotic resistance gene dynamics in
 PM2.5 during rainfall",Cross-sectional study,Ambient temperature; Precipitation; Relative humidity,Air/aerosol,No seasonality
24,Jang et al. (2021),Hydrometeorological Influence on Antibiotic‐Resistance Genes (ARGs) and Bacterial Community at a Recreational Beach in Korea,Cross-sectional study,Ambient temperature; Precipitation,Environmental water,No seasonality
25,Rodríguez et al. (2021),Climatological and Epidemiological Conditions Are Important Factors Related to the Abundance of blaKPC and Other Antibiotic Resistance Genes (ARGs) in Wastewater Treatment Plants and Their Effluents,Cross-sectional study,Ambient temperature; Precipitation,Wastewater,No seasonality
26,Yang et al. (2021),"Fecal indicators, pathogens, antibiotic resistance genes, and ecotoxicity in Galveston Bay after Hurricane Harvey",Cross-sectional study,Ambient temperature; Precipitation; Extreme weather events,Soil/agricultural sources,No seasonality
27,Feldman et al. (2022),Effect of temperature on Escherichia coli bloodstream infection in a nationwide population-based study of incidence and resistance,Ecological study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
28,LaMontagne et al. (2022),"Hurricane Harvey Impacts on Water Quality and Microbial Communities in Houston, TX Waterbodies",Cross-sectional study,Extreme weather events,Environmental water,No seasonality
29,Lee et al. (2022),Wastewater bypass is a major temporary point-source of antibiotic resistance genes and multi-resistance risk factors in a Swiss river,Cross-sectional study,Precipitation; Extreme weather events,Environmental water,No seasonality
30,Li Z. et al. (2022).,Influence of site-specific factors on antibiotic resistance in agricultural soils of Yangtze River Delta: An integrated study of multi-factor modeling,Modeling study,Ambient temperature; Precipitation; Relative humidity,Soil/agricultural sources,No seasonality
31,Li. et al. (2022),Climate warming increases the proportions of specific antibiotic resistance genes in natural soil ecosystems,Cross-sectional study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
32,Zheng et al. (2022),Metagenomics highlights the impact of climate and human activities on antibiotic resistance genes in China's estuaries,Cross-sectional study,Ambient temperature; Precipitation; Relative humidity,Soil/agricultural sources,No seasonality
33,Li et al. (2022),Association between antibiotic resistance and increasing ambient temperature in China: An ecological study with nationwide panel data,Ecological study,Ambient temperature; Precipitation; Relative humidity,Clinical isolates,No seasonality
34,Maugeri et al. (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Ecological study,Ambient temperature,Clinical isolates,No seasonality
35,Rahbe E. et al. (2023).,Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS.,Modeling study,Ambient temperature; Precipitation; Extreme weather events; Relative humidity,Clinical isolates,No seasonality
36,Song D et al. (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau,Cross-sectional study,Ambient temperature; Precipitation,Soil/agricultural sources,No seasonality
37,Yang J et al. (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Laboratory experiment,Ambient temperature; Precipitation; Relative humidity,Environmental water,No seasonality
38,Yu Q. et al. (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River.,Modeling study,Ambient temperature,Environmental water,No seasonality
39,Zeng et al. (2023),The association between ambient temperature and antimicrobial resistance of Klebsiella pneumoniae in China: a difference-in-differences analysis,Ecological study,Ambient temperature; Precipitation; Relative humidity,Clinical isolates,No seasonality
40,Zhao et al. (2023),Antibiotic resistance genes in constructed wetlands: Driving indicators and risk assessment,Ecological study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
41,Zhou et al. (2023),Association between particulate matter (PM)2·5 air pollution and clinical antibiotic resistance: a global analysis,Modeling study,Ambient temperature; Precipitation,Clinical isolates,No seasonality
42,Ke et al. (2024),Effects of treatments and distribution on microbiome and antibiotic resistome from source to tap water in three Chinese geographical regions based on metagenome assembly,Cross-sectional study,Ambient temperature,Environmental water,No seasonality
43,Liu et al. (2024),Seasonal meropenem resistance in Acinetobacter baumannii and influence of temperature-driven adaptation,Modeling study,Ambient temperature; Seasonality,Laboratory isolates,Seasonality with other climate factors
44,Sajjad et al. (2024),"Seasonal and spatial variations in concentration, diversity, and antibiotic resistance of ambient bioaerosols in an arid region",Time-series study,Ambient temperature; Seasonality; Relative humidity,Air/aerosol,Seasonality with other climate factors
45,Shen et al. (2024),"Antibiotic Resistance in a Coastal River in Mississippi, USA - Potential Drivers",Time-series study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
46,Sun et al. (2024),Environmental factors influencing the development and spread of resistance in erythromycin-resistant streptococcus pneumoniae,Ecological study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Clinical isolates,Seasonality with other climate factors
48,Yang et al. (2024),Effect of Temperature on Carbapenemase-Encoding Plasmid Transfer in Klebsiella pneumoniae,Modeling study,Ambient temperature; Seasonality,Laboratory isolates,Seasonality with other climate factors
49,Yang et al. (2024),Antibiotic resistance and resistome risks of inhalable bioaerosols at aeration tank of a full-scale wastewater treatment plant,Modeling study,Ambient temperature; Seasonality; Interaction/Composite exposure,Wastewater,Seasonality with other climate factors
50,Tang Yang et al. (2024),"Airborne antibiotic resistome from sludge dewatering systems: Mobility, pathogen accessibility, cross-media migration propensity, impacting factors, and risks",Cross-sectional study,Ambient temperature; Seasonality; Relative humidity,Clinical isolates,Seasonality with other climate factors
51,Haitao Yuan et al. (2024),The longitudinal trend and influential factors exploring of global antimicrobial resistance in Klebsiella pneumoniae,Time-series study,Ambient temperature; Seasonality; Precipitation,Clinical isolates,Seasonality with other climate factors
53,Yi-Chang Zhao et al. (2024),Analyzing the correlation between quinolone-resistant Escherichia coli resistance rates and climate factors: A comprehensive analysis across 31 Chinese provinces,Modeling study,Ambient temperature; Precipitation; Relative humidity,Clinical isolates,No seasonality
55,Kou et al. (2025),Panel data analysis of the effect of ambient temperature on antimicrobial resistance in China,Ecological study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Clinical isolates,Seasonality with other climate factors
56,Li et al. (2025),Changing climate and socioeconomic factors contribute to global antimicrobial resistance,Modeling study,Ambient temperature; Precipitation,Clinical isolates,No seasonality
58,Rizvi et al. (2025),Klebsiella pneumoniae urinary tract infection: A multicentric study highlights significant regional variations in antimicrobial susceptibility across India,Cross-sectional study,Ambient temperature; Relative humidity,Clinical isolates,No seasonality
59,Wang et al. (2025),A global atlas and drivers of antimicrobial resistance in Salmonella during 1900-2023,Ecological study,Ambient temperature,Clinical isolates,No seasonality
60,Zhang et al. (2025),"From glacier forelands to human settlements: Patterns, environmental drivers, and risks of antibiotic resistance genes",Ecological study,Ambient temperature; Precipitation; Relative humidity,Soil/agricultural sources,No seasonality
61,Zhou et al. (2025),Factors associated with clinical antimicrobial resistance in China: a nationwide analysis,Ecological study,Ambient temperature; Precipitation; Relative humidity,Clinical isolates,No seasonality
62,Zhao et al. (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
63,Zhao et al. (2024),Nonlinear impacts of temperature on antibiotic resistance in Escherichia coli,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
64,Wang et al. (2016),"Pleiotropic effects of temperature-regulated 2-OH-lauroytransferase (PA0011) on Pseudomonas aeruginosa antibiotic resistance, virulence and type III secretion system",Cross-sectional study,Ambient temperature,Laboratory isolates,No seasonality
65,Van Eldijk et al. (2024),Temperature dependence of the mutation rate towards antibiotic resistance,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
66,Stokes et al. (2016),Cold Stress Makes Escherichia coli Susceptible to Glycopeptide Antibiotics by Altering Outer Membrane Integrity,Cross-sectional study,Ambient temperature,Laboratory isolates,No seasonality
67,Song et al. (2025),Effects of Temperature on Resistance to Streptomycin in Xanthomonas arboricola pv. pruni,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
68,Sobur et al. (2022),Higher seasonal temperature enhances the occurrence of methicillin resistance of Staphylococcus aureus in house flies (Musca domestica) under hospital and environmental settings,Cross-sectional study,Ambient temperature; Seasonality; Relative humidity,Clinical isolates,Seasonality with other climate factors
