result_record_id,study_reference_id,within_study_result_no,author_year,climate_exposure,exposure_unit,exposure_change,resistance_phenotype,priority_tier,sample_source_category,pathogen,pathogen_display,antibiotic,resistance_outcome_measure,effect_type,estimate,ci_lower,ci_upper,p_value_reported,is_adjusted_result,sample_size,study_unit,data_coverage,geographic_region,income_level,time_lag,confounder_adjustment,climate_data_source,amr_data_source,quality_rating,runoff_type,amr_type,region_type,is_significant
RID_56-16,56,16,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRAB,Key,Clinical,Acinetobacter baumannii,A. baumannii,carbapenem,Resistance Rate (%),OR,0.95,0.87,1.04,>0.05,True,2185560,country-year,Global,Global,Global mixed,4year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,CR,Global,False
RID_56-51,56,51,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRAB,Key,Clinical,Acinetobacter baumannii,A. baumannii,carbapenem,Resistance Rate (%),OR,1.22,1.03,1.45,<0.05,True,1324449,country-year,Regional,Europe,HICs,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,CR,Europe,True
RID_56-15,56,15,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRAB,Key,Clinical,Acinetobacter baumannii,A. baumannii,carbapenem,Resistance Rate (%),OR,1.07,0.91,1.25,>0.05,True,2185560,country-year,Global,Global,Global mixed,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,CR,Global,False
RID_56-44,56,44,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRAB,Key,Clinical,Acinetobacter baumannii,A. baumannii,carbapenem,Resistance Rate (%),OR,1.59,0.99,2.53,>0.05,True,1324449,country-year,Regional,Europe,HICs,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,CR,Europe,False
RID_56-4,56,4,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,3GCREC,Key,Clinical,Escherichia coli,E. coli,third-generation cephalosporin,Resistance Rate (%),OR,0.96,0.91,1.01,>0.05,True,8527728,country-year,Global,Global,Global mixed,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,3GC-R,Global,False
RID_56-20,56,20,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CREC,Key,Clinical,Escherichia coli,E. coli,carbapenem,Resistance Rate (%),OR,0.88,0.77,1.01,>0.05,True,8412847,country-year,Global,Global,Global mixed,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,CR,Global,False
RID_56-52,56,52,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,3GCREC,Key,Clinical,Escherichia coli,E. coli,third-generation cephalosporin,Resistance Rate (%),OR,0.94,0.88,1.0,<0.05,True,5747688,country-year,Regional,Europe,HICs,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,3GC-R,Europe,True
RID_56-53,56,53,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CREC,Key,Clinical,Escherichia coli,E. coli,carbapenem,Resistance Rate (%),OR,0.81,0.66,0.99,<0.05,True,5745974,country-year,Regional,Europe,HICs,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,CR,Europe,True
RID_56-3,56,3,Li (2025),Annual surface runoff total,100mm,per 100mm increase,3GCREC,Key,Clinical,Escherichia coli,E. coli,third-generation cephalosporin,Resistance Rate (%),OR,1.0,0.93,1.08,>0.05,True,8527728,country-year,Global,Global,Global mixed,4year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,3GC-R,Global,False
RID_56-19,56,19,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CREC,Key,Clinical,Escherichia coli,E. coli,carbapenem,Resistance Rate (%),OR,1.36,1.14,1.62,<0.05,True,8412847,country-year,Global,Global,Global mixed,4year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,CR,Global,True
