evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_002-M1,2,1,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Results,Socio-ecological mediation,Acinetobacter spp; P.aeruginosa ;K. pneumoniae,"Table 3 also shows adjusted associations of temperature and
bacterial BSI frequencies separately within each season. In winter,
spring, and fall, higher temperature was positively and significantly
associated with infections caused by each Gram-negative organism
examined and by S. aureus. In summer, higher temperature was
positively and significantly associated with infections caused by
each Gram-negative pathogen except E. coli.",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-25
EVID_002-M1,2,1,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Discussion interpretation,Direct biological mechanisms,Acinetobacter spp; P.aeruginosa ;K. pneumoniae,"There are several potential explanations for the observed
association of Gram-negative BSI frequency with outdoor
temperature levels. First, higher temperatures may facilitate
increased growth of bacteria in the environment, which may, in
turn, increase colonization of humans [3,14]. ",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Mixed or unspecified,2025-12-25
EVID_002-M2,2,2,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Discussion interpretation,Direct biological mechanisms,Acinetobacter spp; P.aeruginosa ;K. pneumoniae," Second, evidence
suggests that elevated temperatures may be associated with
increased virulence of Gram-negative bacteria [17,18]. The lipid
A moiety of lipopolysaccharide, which forms the outer monolayer
of the outermost membrane of most Gram-negative bacteria, is
regulated by environmental conditions and is known to modulate
virulence in Gram-negative organisms [17,18]. Thus, it is possible
that temperature may modulate the virulence of Gram-negative
bacteria, contributing to increases in infection incidence in warmer
periods.",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Mixed or unspecified,2025-12-25
EVID_004-M1,4,1,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Results,Host susceptibility pathways,MRSA,"…MRSA… significantly increased together with the weekly average maximum temperature when above 33 °C (coef. 0.57, p = 0.044)… (p.8)；""…maximum temperature above 33 °C… coinciding with a relative humidity between 55% and 78% is a favorable condition for… MRSA infections."" (p.10)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-25
EVID_004-M1,4,1,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Results and discussion integration,Direct biological mechanisms,MRSA,"The colonization of S. aureus increases with
hydration of the stratum corneum of the skin [27]. The process of hydration peaks when both
environmental temperature and relative humidity are high, which promote sweat production [8,9].",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Within host / clinical,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion theoretical interpretation,Host susceptibility pathways,MRSA,"In countries like India, socio-behavioral environmental factors accentuate the effect of climatic factors on bacterial survival and colonization contributing to increased risk of infections at increased temperatures. These factors, amongst others, can be for example, (a) places of overcrowding, which accentuate the effect of high temperature and humidity resulting in profuse sweating creating favorable condition for proliferation of bacteria;",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion theoretical interpretation,Socio-ecological mediation,MRSA,"; (b) limited water availability that results in poor hygiene,
a consequence of which is perpetuation of infections and also transmission of them to others and;",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion theoretical interpretation,Socio-ecological mediation,MRSA,"To this can also be added a fact that livestock are an integral part of the household environment in rural India. Livestock associated MRSA occurring in human contacts, is a potential public health problem, the magnitude and implications of which have not been fully understood in India [34]. ",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-25
EVID_005-M1,5,1,Blancoet al. (2017),Effect of meteorological factors and geographic location on methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci colonization in the US,Results,Socio-ecological mediation,MRSA；VRE,"For MRSA, only relative humidity remained significant in this multivariate model (Table 3). For every 1% increase ofrelative humidity, there was approximately a 0.9% increase in MRSA colonization when controlling for the other meteorological variables (p = 0.010). For VRE, only relative humidity approached significance in this multivariate model
(Table 4). For every 1% increase ofrelative humidity, there was approximately a 0.8% increase in VRE colonization when controlling for the other meteorological variables (p = 0.064).",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-25
EVID_005-M2,5,2,Blancoet al. (2017),Effect of meteorological factors and geographic location on methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci colonization in the US,Results,Direct biological mechanisms,MRSA；VRE,"For MRSA and VRE, a 10% increase in relative humidity led to an 8–9% increase in prevalence rate. Furthermore, we observed a stronger effect ofgeographical location on colonization. Interestingly, the direction ofthis association varied by pathogen. The closer to the equator, the higher the observed MRSA colonization but the lower the observed VRE colonization.",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Within host / clinical,2025-12-25
