result_record_id,study_reference_id,within_study_result_no,analysis_code,analysis_label,study_label,author_year,hydrological_factor,effect_type,pathogen,region,income_level,sample_source,estimate_original,ci_lower_original,ci_upper_original,effect_size_transformed,se_transformed,sample_size
RID_4-3,4,3,Humid_Beta,Humidity (Beta),"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Relative Humidity,Beta,Mixed/Multiple,Asia (East/South/West),Lower-middle-income (LMICs),Clinical,0.24,0.03,0.45,0.24,0.107142857142857,590
RID_4-4,4,4,Humid_Beta,Humidity (Beta),"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Relative Humidity,Beta,Mixed/Multiple,Asia (East/South/West),Lower-middle-income (LMICs),Clinical,-0.25,-0.5,0.016,-0.25,0.131632653061224,590
RID_4-7,4,7,Humid_Beta,Humidity (Beta),"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Relative Humidity,Beta,S. aureus,Asia (East/South/West),Lower-middle-income (LMICs),Clinical,-0.17,-0.36,0.02,-0.17,0.0969387755102041,387
RID_4-10,4,10,Humid_Beta,Humidity (Beta),"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Relative Humidity,Beta,S. aureus,Asia (East/South/West),Lower-middle-income (LMICs),Clinical,-0.18,-0.32,-0.04,-0.18,0.0714285714285714,251
RID_35-10,35,10,Humid_Beta,Humidity (Beta),Rahbe E. et al. (2023).,Rahbe E. et al. (2023).,Relative Humidity,Beta,S. pneumoniae,Global,Global (mixed),Clinical,0.89,0.81,0.98,0.89,0.0433673469387755,437
RID_35-9,35,9,Precip_Beta,Precipitation (Beta) - Clinical,Rahbe E. et al. (2023).,Rahbe E. et al. (2023).,Precipitation,Beta,A. baumannii,Global,Global (mixed),Clinical,0.92,0.85,0.99,0.92,0.0357142857142857,410
RID_41-23,41,23,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,Mixed/Multiple,Global,Global (mixed),Clinical,-0.00272,-0.0042,-0.0012,-0.00272,0.0007653061224489,882
RID_41-24,41,24,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,A. baumannii,Global,Global (mixed),Clinical,-0.00322,-0.00504,-0.0014,-0.00322,0.0009285714285714,424
RID_41-25,41,25,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,K. pneumoniae,Global,Global (mixed),Clinical,-0.00248,-0.00496,-1e-05,-0.00248,0.0012627551020408,692
RID_41-26,41,26,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,P. aeruginosa,Global,Global (mixed),Clinical,-0.00155,-0.00325,0.00015,-0.00155,0.0008673469387755,574
RID_41-27,41,27,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,S. pneumoniae,Global,Global (mixed),Clinical,0.00247,0.00059,0.00435,0.00247,0.0009591836734693,407
RID_41-28,41,28,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,S. aureus,Global,Global (mixed),Clinical,-0.00336,-0.00592,-0.0008,-0.00336,0.0013061224489795,823
RID_41-29,41,29,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,E. coli,Global,Global (mixed),Clinical,-0.00262,-0.00461,-0.00063,-0.00262,0.0010153061224489,730
RID_41-30,41,30,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,Enterococcus,Global,Global (mixed),Clinical,-0.00165,-0.00348,0.00018,-0.00165,0.0009336734693877,474
RID_41-31,41,31,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,Enterococcus,Global,Global (mixed),Clinical,0.00429,0.00174,0.00684,0.00429,0.0013010204081632,562
RID_41-42,41,42,Precip_Beta,Precipitation (Beta) - Clinical,Zhou et al. (2023),Zhou et al. (2023),Precipitation,Beta,Mixed/Multiple,Global,Global (mixed),Clinical,-0.00276,-0.0044,-0.00112,-0.00276,0.0008367346938775,741
RID_53-5,53,5,Precip_Beta,Precipitation (Beta) - Clinical,Yi-Chang Zhao et al. (2024),Yi-Chang Zhao et al. (2024),Precipitation,Beta,E. coli,Asia (East/South/West),Upper-middle-income (UMICs),Clinical,-0.001,-0.0018,-0.0002,-0.001,0.0004081632653061,248
RID_13-3,13,3,Precip_Corr,Precipitation (Correlation) - Environmental,Duff et al. (2019),Duff et al. (2019),Precipitation,Correlation,E. coli,North America,High-income (HICs),Environmental,0.76,0.53,0.88,0.76,0.0892857142857143,2793
RID_13-4,13,4,Precip_Corr,Precipitation (Correlation) - Environmental,Duff et al. (2019),Duff et al. (2019),Precipitation,Correlation,E. coli,North America,High-income (HICs),Environmental,0.48,0.12,0.73,0.48,0.155612244897959,2793
RID_160-2,160,2,Precip_Corr,Precipitation (Correlation) - Environmental,Herrig et al. (2020),Herrig et al. (2020),Precipitation,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,0.69,0.41,0.85,0.69,0.112244897959184,25
RID_160-5,160,5,Precip_Corr,Precipitation (Correlation) - Environmental,Herrig et al. (2020),Herrig et al. (2020),Precipitation,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,0.56,0.28,0.75,0.56,0.119897959183673,35
RID_208-01,208,1,Precip_Corr,Precipitation (Correlation) - Environmental,Zhou et al. (2024),Zhou et al. (2024),Precipitation,Correlation,E. coli,Asia (East/South/West),Upper-middle-income (UMICs),Environmental,0.785,0.1798,0.9591,0.785,0.198801020408163,8
RID_208-05,208,5,Precip_Corr,Precipitation (Correlation) - Environmental,Zhou et al. (2024),Zhou et al. (2024),Precipitation,Correlation,E. coli,Asia (East/South/West),Upper-middle-income (UMICs),Environmental,0.262,-0.2686,0.6706,0.262,0.239591836734694,16
RID_13-1,13,1,Water_Corr,Water Temperature (Correlation),Duff et al. (2019),Duff et al. (2019),Water Temperature,Correlation,E. coli,North America,High-income (HICs),Environmental,0.35,-0.03,0.64,0.35,0.170918367346939,2793
RID_13-2,13,2,Water_Corr,Water Temperature (Correlation),Duff et al. (2019),Duff et al. (2019),Water Temperature,Correlation,E. coli,North America,High-income (HICs),Environmental,0.4,0.02,0.68,0.4,0.168367346938776,2793
RID_160-1,160,1,Water_Corr,Water Temperature (Correlation),Herrig et al. (2020),Herrig et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.43,-0.71,-0.04,-0.43,0.170918367346939,25
RID_160-4,160,4,Water_Corr,Water Temperature (Correlation),Herrig et al. (2020),Herrig et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.58,-0.77,-0.31,-0.58,0.11734693877551,35
RID_161-1,161,1,Water_Corr,Water Temperature (Correlation),Harnisz et al. (2020),Harnisz et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.39,-0.575,-0.1671,-0.39,0.10405612244898,68
RID_161-2,161,2,Water_Corr,Water Temperature (Correlation),Harnisz et al. (2020),Harnisz et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.47,-0.637,-0.2608,-0.47,0.0959693877551021,68
RID_161-3,161,3,Water_Corr,Water Temperature (Correlation),Harnisz et al. (2020),Harnisz et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.44,-0.614,-0.2252,-0.44,0.0991836734693878,68
RID_161-4,161,4,Water_Corr,Water Temperature (Correlation),Harnisz et al. (2020),Harnisz et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.51,-0.6673,-0.3092,-0.51,0.0913520408163265,68
RID_161-5,161,5,Water_Corr,Water Temperature (Correlation),Harnisz et al. (2020),Harnisz et al. (2020),Water Temperature,Correlation,ARG (gene-level),Europe & Central Asia,High-income (HICs),Environmental,-0.33,-0.527,-0.0994,-0.33,0.109081632653061,68
