result_record_id,study_reference_id,within_study_result_no,study_label,author_year,pathogen,exposure,region_world_bank,region_who,income_level,sample_size,effect_type,estimate,ci_lower,ci_upper,analysis_type
RID_4-1,4,1,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Other,Maximum temperature,South Asia,South-East Asia Region,,590,Coefficient (Coef.),0.6,-0.43,1.62,Beta
RID_4-2,4,2,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",Other,Minimum temperature,South Asia,South-East Asia Region,,590,Coefficient (Coef.),0.9,0.04,1.76,Beta
RID_4-5,4,5,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",S. aureus,Maximum temperature,South Asia,South-East Asia Region,,590,Coefficient (Coef.),-0.56,-1.14,0.02,Beta
RID_4-6,4,6,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",S. aureus,Maximum temperature,South Asia,South-East Asia Region,,590,Coefficient (Coef.),0.69,-0.02,1.4,Beta
RID_4-8,4,8,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",S. aureus,Maximum temperature,South Asia,South-East Asia Region,,387,Coefficient (Coef.),-0.42,-0.86,0.02,Beta
RID_4-9,4,9,"Sahoo, Krushna Chandra, et al. (2014)","Sahoo, Krushna Chandra, et al. (2014)",S. aureus,Maximum temperature,South Asia,South-East Asia Region,,387,Coefficient (Coef.),0.57,0.01,1.13,Beta
RID_5-7,5,7,"Blanco, Natalia, et al. (2017)","Blanco, Natalia, et al. (2017)",S. aureus,Other temperature,North America,Region of the Americas,High-income (HICs),1968,Prevalence Rate Ratio (PRR),1.007,1.0026,1.0115,RR/OR
RID_8-1,8,1,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.512,0.253,0.771,Beta
RID_8-2,8,2,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.598,0.296,0.9,Beta
RID_8-3,8,3,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.419,0.208,0.63,Beta
RID_8-4,8,4,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.341,0.169,0.513,Beta
RID_8-5,8,5,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.397,0.197,0.597,Beta
RID_8-6,8,6,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.219,0.109,0.329,Beta
